urine rate,diffusion coefficients,bladder steady state,time to blockage
23.0,1e-07,28.5256,54.625
24.0,1e-07,22.5161,54.666666666666664
25.0,1e-07,18.5979,54.666666666666664
27.5,1e-07,12.9597,54.708333333333336
30.0,1e-07,9.94478,54.708333333333336
32.5,1e-07,8.067860000000001,54.75
35.0,1e-07,6.786919999999999,54.75
37.5,1e-07,5.857,54.791666666666664
40.0,1e-07,5.1512,54.791666666666664
5.0,3e-08,740321.0,97.58333333333333
6.0,3e-08,688384.0,97.625
7.0,3e-08,636448.0,97.66666666666667
8.0,3e-08,584511.0,97.70833333333333
9.0,3e-08,532575.0,97.79166666666667
10.0,3e-08,480638.0,97.83333333333333
11.0,3e-08,428702.0,97.875
12.0,3e-08,376766.0,97.95833333333333
13.0,3e-08,324830.0,98.0
14.0,3e-08,272895.0,98.04166666666667
15.0,3e-08,220961.0,98.08333333333333
16.0,3e-08,169028.0,98.16666666666667
17.0,3e-08,117099.0,98.20833333333333
18.0,3e-08,65182.5,98.29166666666667
18.5,3e-08,39244.1,98.33333333333333
19.0,3e-08,13420.8,98.33333333333333
19.5,3e-08,227.696,98.375
20.0,3e-08,76.2397,98.41666666666667
21.0,3e-08,32.6226,98.45833333333333
22.0,3e-08,20.7463,98.45833333333333
23.0,3e-08,15.2088,98.5
24.0,3e-08,12.0045,98.5
25.0,3e-08,9.91543,98.54166666666667
27.5,3e-08,6.90935,98.58333333333333
30.0,3e-08,5.30194,98.58333333333333
32.5,3e-08,4.30127,98.625
35.0,3e-08,3.61836,98.66666666666667
37.5,3e-08,3.12258,98.66666666666667
40.0,3e-08,2.74629,98.70833333333333
5.0,1e-08,740319.0,168.375
6.0,1e-08,688382.0,168.41666666666666
7.0,1e-08,636445.0,168.45833333333334
8.0,1e-08,584509.0,168.5
9.0,1e-08,532572.0,168.58333333333334
10.0,1e-08,480635.0,168.625
11.0,1e-08,428699.0,168.70833333333334
12.0,1e-08,376763.0,168.75
13.0,1e-08,324826.0,168.79166666666666
14.0,1e-08,272891.0,168.83333333333334
15.0,1e-08,220955.0,168.91666666666666
16.0,1e-08,169021.0,168.95833333333334
17.0,1e-08,117089.0,169.04166666666666
18.0,1e-08,65165.6,169.125
18.5,1e-08,39216.9,169.125
19.0,1e-08,13343.7,169.16666666666666
19.5,1e-08,150.208,169.20833333333334
20.0,1e-08,50.0319,169.20833333333334
21.0,1e-08,21.397,169.25
22.0,1e-08,13.6065,169.29166666666666
23.0,1e-08,9.97452,169.33333333333334
24.0,1e-08,7.87295,169.33333333333334
25.0,1e-08,6.50282,169.375
27.5,1e-08,4.5313300000000005,169.41666666666666
30.0,1e-08,3.4771400000000003,169.41666666666666
32.5,1e-08,2.82088,169.45833333333334
35.0,1e-08,2.37301,169.5
37.5,1e-08,2.04786,169.58333333333334
40.0,1e-08,1.80108,
