urine rate,catheter length,bladder steady state,time to blockage
17.0,165.0,121754.0,72.75
17.0,170.0,121739.0,73.5
17.0,175.0,121721.0,74.25
17.0,180.0,121700.0,75.0
17.0,185.0,121676.0,75.66666666666666
17.0,190.0,121649.0,76.33333333333333
17.0,195.0,121618.0,77.0
17.0,200.0,121583.0,77.66666666666666
18.0,40.0,72217.6,45.08333333333333
18.0,45.0,72287.2,46.5
18.0,50.0,72350.1,47.83333333333333
18.0,55.0,72405.3,49.25
18.0,60.0,72452.4,50.75
18.0,65.0,72491.3,52.166666666666664
18.0,70.0,72522.3,53.58333333333333
18.0,75.0,72545.6,55.0
18.0,80.0,72561.5,56.33333333333333
18.0,85.0,72570.2,57.58333333333333
18.0,90.0,72572.2,58.83333333333333
18.0,95.0,72567.5,60.0
18.0,100.0,72556.4,61.166666666666664
18.0,105.0,72538.9,62.33333333333333
18.0,110.0,72515.3,63.416666666666664
18.0,115.0,72485.4,64.41666666666666
18.0,120.0,72449.5,65.41666666666666
18.0,125.0,72407.4,66.41666666666666
18.0,130.0,72359.3,67.33333333333333
18.0,135.0,72305.0,68.33333333333333
18.0,140.0,72244.5,69.16666666666666
18.0,145.0,72177.9,70.08333333333333
18.0,150.0,72104.9,70.91666666666666
18.0,155.0,72025.6,71.75
18.0,160.0,71939.9,72.5
18.0,165.0,71847.7,73.25
18.0,170.0,71748.9,74.0
18.0,175.0,71643.4,74.75
18.0,180.0,71531.1,75.5
18.0,185.0,71412.0,76.16666666666666
18.0,190.0,71285.9,76.83333333333333
18.0,195.0,71152.7,77.5
18.0,200.0,71012.4,78.16666666666666
19.0,40.0,29816.2,45.75
19.0,45.0,29946.5,47.75
19.0,50.0,30062.1,48.916666666666664
19.0,55.0,30162.3,50.08333333333333
19.0,60.0,30247.5,51.416666666666664
19.0,65.0,30318.5,52.83333333333333
19.0,70.0,30376.5,54.166666666666664
19.0,75.0,30422.6,55.5
19.0,80.0,30457.9,56.83333333333333
19.0,85.0,30483.5,58.08333333333333
19.0,90.0,30500.2,59.33333333333333
19.0,95.0,30508.9,60.58333333333333
19.0,100.0,30510.2,61.666666666666664
19.0,105.0,30504.7,62.83333333333333
19.0,110.0,30493.0,63.916666666666664
19.0,115.0,30475.5,64.91666666666666
19.0,120.0,30452.6,65.91666666666666
19.0,125.0,30424.7,66.91666666666666
19.0,130.0,30392.2,67.83333333333333
19.0,135.0,30355.2,68.75
19.0,140.0,30314.0,69.66666666666666
19.0,145.0,30268.8,70.5
19.0,150.0,30219.9,71.41666666666666
19.0,155.0,30167.3,72.16666666666666
19.0,160.0,30111.3,73.0
19.0,165.0,30052.0,73.75
19.0,170.0,29989.6,74.5
19.0,175.0,29924.1,75.25
19.0,180.0,29855.6,76.0
19.0,185.0,29784.3,76.66666666666666
19.0,190.0,29710.2,77.33333333333333
19.0,195.0,29633.5,78.0
19.0,200.0,29554.2,78.66666666666666
20.0,40.0,10334.6,46.416666666666664
20.0,45.0,10468.0,48.33333333333333
20.0,50.0,10590.0,50.25
20.0,55.0,10700.3,51.25
20.0,60.0,10799.4,52.33333333333333
20.0,65.0,10888.2,53.58333333333333
20.0,70.0,10967.7,54.83333333333333
20.0,75.0,11038.9,56.166666666666664
20.0,80.0,11102.7,57.416666666666664
20.0,85.0,11160.0,58.666666666666664
20.0,90.0,11211.5,59.83333333333333
20.0,95.0,11257.9,61.08333333333333
20.0,100.0,11299.7,62.166666666666664
20.0,105.0,11337.5,63.25
20.0,110.0,11371.6,64.33333333333333
20.0,115.0,11402.5,65.41666666666666
20.0,120.0,11430.4,66.41666666666666
20.0,125.0,11455.6,67.41666666666666
20.0,130.0,11478.4,68.33333333333333
20.0,135.0,11498.9,69.25
20.0,140.0,11517.4,70.16666666666666
20.0,145.0,11534.1,71.0
20.0,150.0,11548.9,71.83333333333333
20.0,155.0,11562.2,72.66666666666666
20.0,160.0,11574.0,73.5
20.0,165.0,11584.3,74.25
20.0,170.0,11593.4,75.0
20.0,175.0,11601.2,75.75
20.0,180.0,11607.8,76.41666666666666
20.0,185.0,11613.4,77.16666666666666
20.0,190.0,11617.8,77.83333333333333
20.0,195.0,11621.3,78.5
20.0,200.0,11623.8,79.16666666666666
21.0,40.0,5283.62,47.08333333333333
21.0,45.0,5364.32,48.916666666666664
21.0,50.0,5438.39,50.75
21.0,55.0,5505.67,52.58333333333333
21.0,60.0,5566.44,53.5
21.0,65.0,5621.21,54.416666666666664
21.0,70.0,5670.57,55.58333333333333
21.0,75.0,5715.11,56.75
21.0,80.0,5755.39,58.0
21.0,85.0,5791.89,59.166666666666664
21.0,90.0,5825.08,60.33333333333333
21.0,95.0,5855.33,61.5
21.0,100.0,5882.99,62.666666666666664
21.0,105.0,5908.35,63.75
21.0,110.0,5931.67,64.83333333333333
21.0,115.0,5953.16,65.83333333333333
21.0,120.0,5973.03,66.83333333333333
21.0,125.0,5991.42,67.83333333333333
21.0,130.0,6008.5,68.75
21.0,135.0,6024.39,69.66666666666666
21.0,140.0,6039.2,70.58333333333333
21.0,145.0,6053.03,71.41666666666666
21.0,150.0,6065.97,72.25
21.0,155.0,6078.08,73.08333333333333
21.0,160.0,6089.45,73.91666666666666
21.0,165.0,6100.13,74.66666666666666
21.0,170.0,6110.18,75.41666666666666
21.0,175.0,6119.63,76.16666666666666
21.0,180.0,6128.54,76.91666666666666
21.0,185.0,6136.95,77.58333333333333
21.0,190.0,6144.89,78.25
21.0,195.0,6152.38,78.91666666666666
21.0,200.0,6159.46,79.58333333333333
22.0,40.0,3468.68,47.916666666666664
22.0,45.0,3523.64,49.5
22.0,50.0,3574.11,51.33333333333333
22.0,55.0,3619.97,53.08333333333333
22.0,60.0,3661.4,54.83333333333333
22.0,65.0,3698.76,55.58333333333333
22.0,70.0,3732.45,56.416666666666664
22.0,75.0,3762.85,57.416666666666664
22.0,80.0,3790.36,58.58333333333333
22.0,85.0,3815.31,59.75
22.0,90.0,3838.0,60.916666666666664
22.0,95.0,3858.7,62.0
22.0,100.0,3877.64,63.166666666666664
22.0,105.0,3895.01,64.16666666666666
22.0,110.0,3911.0,65.25
22.0,115.0,3925.75,66.25
22.0,120.0,3939.4,67.25
22.0,125.0,3952.06,68.25
22.0,130.0,3963.82,69.16666666666666
22.0,135.0,3974.79,70.08333333333333
22.0,140.0,3985.02,71.0
22.0,145.0,3994.6,71.83333333333333
22.0,150.0,4003.58,72.66666666666666
22.0,155.0,4012.01,73.5
22.0,160.0,4019.95,74.33333333333333
22.0,165.0,4027.42,75.08333333333333
22.0,170.0,4034.48,75.83333333333333
22.0,175.0,4041.15,76.58333333333333
22.0,180.0,4047.47,77.33333333333333
22.0,185.0,4053.45,78.0
22.0,190.0,4059.13,78.66666666666666
22.0,195.0,4064.53,79.33333333333333
22.0,200.0,4069.66,80.0
23.0,40.0,2569.79,48.83333333333333
23.0,45.0,2611.07,50.08333333333333
23.0,50.0,2648.98,51.75
23.0,55.0,2683.42,53.58333333333333
23.0,60.0,2714.55,55.25
23.0,65.0,2742.62,57.0
23.0,70.0,2767.93,57.5
23.0,75.0,2790.77,58.25
23.0,80.0,2811.44,59.25
23.0,85.0,2830.19,60.33333333333333
23.0,90.0,2847.24,61.416666666666664
23.0,95.0,2862.8,62.5
23.0,100.0,2877.03,63.58333333333333
23.0,105.0,2890.09,64.66666666666666
23.0,110.0,2902.11,65.66666666666666
23.0,115.0,2913.2,66.66666666666666
23.0,120.0,2923.46,67.66666666666666
23.0,125.0,2932.98,68.66666666666666
23.0,130.0,2941.83,69.58333333333333
23.0,135.0,2950.07,70.5
23.0,140.0,2957.77,71.33333333333333
23.0,145.0,2964.97,72.25
23.0,150.0,2971.73,73.08333333333333
23.0,155.0,2978.07,73.91666666666666
23.0,160.0,2984.04,74.66666666666666
23.0,165.0,2989.67,75.41666666666666
23.0,170.0,2994.98,76.16666666666666
23.0,175.0,3000.0,76.91666666666666
23.0,180.0,3004.76,77.66666666666666
23.0,185.0,3009.26,78.33333333333333
23.0,190.0,3013.55,79.08333333333333
23.0,195.0,3017.61,79.75
23.0,200.0,3021.49,80.41666666666666
24.0,40.0,2037.89,49.166666666666664
24.0,45.0,2070.84,50.75
24.0,50.0,2101.1,52.25
24.0,55.0,2128.6,53.916666666666664
24.0,60.0,2153.45,55.666666666666664
24.0,65.0,2175.85,57.33333333333333
24.0,70.0,2196.06,58.916666666666664
24.0,75.0,2214.3,59.25
24.0,80.0,2230.8,59.916666666666664
24.0,85.0,2245.77,60.916666666666664
24.0,90.0,2259.38,61.916666666666664
24.0,95.0,2271.8,62.916666666666664
24.0,100.0,2283.17,64.0
24.0,105.0,2293.6,65.08333333333333
24.0,110.0,2303.19,66.08333333333333
24.0,115.0,2312.05,67.08333333333333
24.0,120.0,2320.24,68.0
24.0,125.0,2327.84,69.0
24.0,130.0,2334.9,69.91666666666666
24.0,135.0,2341.48,70.83333333333333
24.0,140.0,2347.63,71.66666666666666
24.0,145.0,2353.38,72.58333333333333
24.0,150.0,2358.78,73.41666666666666
24.0,155.0,2363.84,74.25
24.0,160.0,2368.61,75.0
24.0,165.0,2373.1,75.75
24.0,170.0,2377.34,76.5
24.0,175.0,2381.36,77.25
24.0,180.0,2385.15,78.0
24.0,185.0,2388.75,78.66666666666666
24.0,190.0,2392.17,79.41666666666666
24.0,195.0,2395.42,80.08333333333333
24.0,200.0,2398.52,80.75
25.0,40.0,1687.39,49.5
25.0,45.0,1714.78,51.33333333333333
25.0,50.0,1739.93,52.666666666666664
25.0,55.0,1762.78,54.33333333333333
25.0,60.0,1783.44,56.0
25.0,65.0,1802.06,57.666666666666664
25.0,70.0,1818.85,59.25
25.0,75.0,1834.01,60.75
25.0,80.0,1847.72,60.83333333333333
25.0,85.0,1860.16,61.5
25.0,90.0,1871.48,62.416666666666664
25.0,95.0,1881.8,63.416666666666664
25.0,100.0,1891.25,64.41666666666666
25.0,105.0,1899.92,65.41666666666666
25.0,110.0,1907.89,66.41666666666666
25.0,115.0,1915.25,67.41666666666666
25.0,120.0,1922.06,68.41666666666666
25.0,125.0,1928.37,69.33333333333333
25.0,130.0,1934.25,70.25
25.0,135.0,1939.72,71.16666666666666
25.0,140.0,1944.83,72.0
25.0,145.0,1949.61,72.83333333333333
25.0,150.0,1954.09,73.66666666666666
25.0,155.0,1958.3,74.5
25.0,160.0,1962.26,75.33333333333333
